name	human	mouse	cow
LTR13	2.0589	NA	NA
MERV1_LTR	NA	3.4991	NA
HERVK9-int	1.1221	NA	NA
RLTR48A	NA	1.7001	NA
RLTR45	NA	1.3843	NA
Bov-tA3	NA	NA	2.1533
RLTR23	NA	3.6236	NA
Bov-tA2	NA	NA	1.7423
Bov-tA1	NA	NA	1.098
LTR19B	2.1621	NA	NA
RLTR14	NA	1.2162	NA
HERVE-int	1.3782	NA	NA
LTR13_	2.8098	NA	NA
MER41B	1.9959	NA	NA
LTR43	2.2012	NA	NA
U1	3.0184	NA	NA
SINE2-1_BT	NA	NA	2.0527
LTR26	1.6309	NA	NA
MLTR14	NA	2.5149	NA
LTR39	2.5028	NA	NA
MER4C	1.2652	NA	NA
MER57F	2.0028	NA	NA
MER44D	1.824	NA	NA
Tigger7	1.5256	NA	1.3893
MER44C	1.301	NA	NA
LTR54B	1.092	NA	NA
LTR44	2.462	NA	NA
MER44B	1.6464	NA	NA
LTR42	1.9191	NA	NA
MER54B	1.301	NA	NA
MER68	1.3348	NA	NA
MER89	1.1595	NA	NA
LTR65	NA	NA	1.432
MER21C	1.734	1.3536	1.0562
LTR55	NA	NA	1.5676
MER77B	1.0776	NA	NA
MER81	3.4432	3.4	2.6288
LTR41	NA	NA	1.2708
LTR40c	1.2596	NA	NA
LTR41B	NA	NA	1.373
LTR33A_	NA	NA	1.0709
LTR33A	NA	NA	1.2974
HAL1	NA	1.0766	NA
MLT1N2	1.1634	NA	NA
MER102b	NA	NA	1.2505
LTR85a	1.072	NA	NA
LTR84b	1.0111	NA	NA
CR1_Mam	1.0696	NA	NA
MIR3	NA	1.3072	NA
AmnSINE1	3.0744	NA	2.5514
UCON26	2.8041	NA	3.0602
Plat_L3	1.4366	NA	1.079
MamSINE1	1.7331	NA	1.2892
L3	NA	1.2088	NA
L2b	NA	1.0154	NA
